date,time,temp_c,humidity,feelslike_c,heatindex_c,wind_kph,gust_kph,windchill_c,cloud,dewpoint_c,pressure_mb,chance_of_rain,precip_mm
2024-07-06,00:00,27.5,86,32.2,32.2,18.4,26.8,27.5,87,25.0,1001.0,0,0.0
2024-07-06,01:00,27.3,87,31.8,31.8,17.6,26.2,27.3,39,24.9,1001.0,0,0.0
2024-07-06,02:00,27.1,87,31.5,31.5,17.3,26.0,27.1,77,24.8,1000.0,100,0.1
2024-07-06,03:00,27.0,88,31.3,31.3,17.3,26.1,27.0,37,24.8,1000.0,0,0.0
2024-07-06,04:00,27.0,88,31.2,31.2,17.6,26.4,27.0,37,24.8,1000.0,45,0.0
2024-07-06,05:00,26.9,88,31.0,31.0,16.6,25.1,26.9,38,24.7,1001.0,0,0.0
2024-07-06,06:00,27.0,88,31.3,31.3,16.9,24.8,27.0,39,24.8,1001.0,0,0.0
2024-07-06,07:00,28.0,83,32.9,32.9,19.4,25.7,28.0,78,24.9,1002.0,45,0.05
2024-07-06,08:00,29.3,76,34.6,34.6,21.6,26.7,29.3,73,24.7,1002.0,45,0.03
2024-07-06,09:00,30.6,69,36.3,36.3,22.7,26.1,30.6,58,24.3,1002.0,45,0.01
2024-07-06,10:00,31.6,64,37.5,37.5,22.0,25.3,31.6,76,24.1,1002.0,45,0.0
2024-07-06,11:00,32.4,61,38.5,38.5,21.6,24.8,32.4,47,23.9,1002.0,45,0.0
2024-07-06,12:00,33.1,58,39.5,39.5,20.9,24.0,33.1,93,23.8,1001.0,45,0.01
2024-07-06,13:00,33.4,57,39.6,39.6,20.2,23.2,33.4,99,23.7,1000.0,45,0.01
2024-07-06,14:00,33.4,57,39.8,39.8,19.8,22.8,33.4,93,23.8,1000.0,45,0.03
2024-07-06,15:00,33.1,59,39.6,39.6,20.9,24.7,33.2,85,23.9,999.0,45,0.03
2024-07-06,16:00,32.8,60,39.1,39.1,20.2,24.9,32.8,83,23.9,999.0,100,0.12
2024-07-06,17:00,32.2,63,38.6,38.6,18.7,24.6,32.2,56,24.3,999.0,100,0.38
2024-07-06,18:00,30.8,68,36.6,36.6,18.7,27.8,30.8,88,24.4,1000.0,100,0.31
2024-07-06,19:00,29.8,72,35.0,35.0,18.0,27.8,29.8,71,24.3,1001.0,45,0.01
2024-07-06,20:00,29.2,76,34.2,34.2,18.0,27.5,29.2,47,24.4,1001.0,45,0.0
2024-07-06,21:00,28.8,78,33.8,33.8,16.6,25.1,28.8,45,24.6,1002.0,0,0.0
2024-07-06,22:00,28.4,80,33.3,33.3,16.2,24.3,28.4,75,24.7,1002.0,0,0.0
2024-07-06,23:00,28.2,82,33.0,33.0,15.5,23.1,28.2,28,24.8,1002.0,0,0.0
2024-07-05,00:00,26.8,91,31.2,31.2,16.6,24.3,26.8,67,25.1,1003.0,45,0.0
2024-07-05,01:00,26.5,91,30.7,30.7,15.5,23.0,26.5,72,25.0,1002.0,45,0.04
2024-07-05,02:00,26.3,92,30.3,30.3,13.0,20.2,26.3,79,24.9,1002.0,100,1.04
2024-07-05,03:00,26.1,93,30.0,30.0,13.0,21.5,26.1,76,24.8,1002.0,100,1.43
2024-07-05,04:00,26.1,92,30.0,30.0,15.5,24.7,26.1,79,24.7,1002.0,45,0.08
2024-07-05,05:00,26.0,92,29.8,29.8,15.5,24.2,26.0,79,24.6,1002.0,45,0.04
2024-07-05,06:00,26.2,92,30.1,30.1,15.8,23.3,26.2,83,24.8,1002.0,45,0.05
2024-07-05,07:00,27.2,87,31.7,31.7,18.0,23.8,27.2,88,24.9,1003.0,100,0.5
2024-07-05,08:00,28.7,80,33.8,33.8,19.1,23.7,28.7,84,24.8,1003.0,100,0.37
2024-07-05,09:00,29.9,74,35.6,35.6,20.9,28.6,29.9,100,24.8,1003.0,100,0.53
2024-07-05,10:00,30.4,72,36.4,36.4,23.0,33.5,30.4,100,24.8,1003.0,100,0.71
2024-07-05,11:00,30.1,73,36.0,36.0,23.4,38.2,30.2,100,24.8,1003.0,100,1.36
2024-07-05,12:00,30.4,73,36.7,36.7,23.8,41.1,30.4,100,25.1,1002.0,100,1.33
2024-07-05,13:00,30.5,73,36.9,36.9,24.1,33.5,30.5,100,25.1,1001.0,100,1.3
2024-07-05,14:00,30.8,72,37.4,37.4,23.8,35.7,30.8,100,25.2,1000.0,100,1.53
2024-07-05,15:00,30.6,72,37.0,37.0,23.0,42.1,30.6,100,25.1,1000.0,100,1.91
2024-07-05,16:00,30.2,75,36.6,36.6,21.6,38.4,30.2,97,25.2,1000.0,100,1.54
2024-07-05,17:00,29.9,76,36.0,36.0,20.9,43.3,29.9,72,25.3,1000.0,100,1.26
2024-07-05,18:00,28.8,82,34.5,34.5,18.4,35.9,28.8,50,25.4,1000.0,100,1.72
2024-07-05,19:00,27.8,85,32.6,32.6,16.6,27.2,27.8,70,25.0,1001.0,100,1.14
2024-07-05,20:00,27.5,86,32.3,32.3,15.5,25.8,27.5,58,25.0,1001.0,100,0.75
2024-07-05,21:00,27.3,88,31.9,31.9,15.5,25.7,27.3,59,25.0,1002.0,100,0.7
2024-07-05,22:00,27.1,88,31.7,31.7,16.9,26.6,27.1,51,25.0,1002.0,100,0.16
2024-07-05,23:00,26.8,89,31.2,31.2,15.5,27.0,26.8,74,24.9,1002.0,45,0.02
2024-07-04,00:00,26.5,90,30.5,30.5,16.2,24.6,26.5,60,24.7,1003.0,0,0.0
2024-07-04,01:00,26.4,91,30.4,30.4,15.8,24.1,26.4,99,24.7,1003.0,45,0.07
2024-07-04,02:00,26.2,92,30.2,30.2,15.5,23.9,26.2,100,24.8,1002.0,100,0.32
2024-07-04,03:00,26.2,92,30.2,30.2,15.5,23.4,26.2,100,24.9,1002.0,100,0.19
2024-07-04,04:00,26.2,93,30.2,30.2,15.1,22.6,26.2,100,24.9,1002.0,100,0.22
2024-07-04,05:00,26.1,93,30.2,30.2,15.1,22.9,26.1,100,24.9,1002.0,100,0.66
2024-07-04,06:00,26.3,93,30.5,30.5,15.5,23.1,26.3,100,25.1,1003.0,100,0.54
2024-07-04,07:00,26.9,90,31.5,31.5,16.9,23.5,26.9,100,25.2,1004.0,100,1.11
2024-07-04,08:00,28.1,84,33.3,33.3,18.4,26.7,28.1,100,25.2,1004.0,100,0.97
2024-07-04,09:00,29.0,81,34.7,34.7,19.4,32.0,29.0,95,25.3,1004.0,100,1.55
2024-07-04,10:00,30.0,76,36.4,36.4,19.4,34.9,30.0,100,25.4,1003.0,100,1.88
2024-07-04,11:00,30.6,74,37.3,37.3,18.7,37.3,30.6,100,25.4,1003.0,100,2.17
2024-07-04,12:00,30.6,73,37.3,37.3,19.1,38.5,30.6,100,25.3,1003.0,100,1.03
2024-07-04,13:00,30.5,74,37.1,37.1,18.0,26.7,30.5,95,25.3,1002.0,100,2.18
2024-07-04,14:00,30.0,77,36.6,36.6,15.1,24.7,30.0,75,25.5,1001.0,100,2.12
2024-07-04,15:00,30.1,77,36.7,36.7,15.1,29.6,30.1,78,25.5,1001.0,100,1.9
2024-07-04,16:00,29.9,77,36.4,36.4,17.3,34.2,29.9,70,25.5,1001.0,100,1.66
2024-07-04,17:00,29.2,81,35.4,35.4,17.6,37.4,29.2,58,25.6,1001.0,100,2.0
2024-07-04,18:00,28.4,84,34.1,34.1,17.3,36.8,28.4,60,25.5,1002.0,100,2.16
2024-07-04,19:00,27.7,86,32.7,32.7,19.1,32.4,27.7,62,25.2,1002.0,100,1.66
2024-07-04,20:00,27.5,87,32.2,32.2,18.4,30.7,27.5,79,25.1,1003.0,100,1.09
2024-07-04,21:00,27.3,88,32.0,32.0,19.1,33.5,27.3,89,25.1,1004.0,45,0.06
2024-07-04,22:00,27.1,89,31.9,31.9,19.8,33.8,27.1,75,25.2,1003.0,45,0.01
2024-07-04,23:00,26.9,90,31.4,31.4,18.7,33.2,26.9,75,25.1,1003.0,100,0.68
2024-07-03,00:00,25.8,94,29.6,29.6,10.4,16.1,25.8,72,24.8,1000.0,45,0.01
2024-07-03,01:00,25.7,94,29.4,29.4,10.1,15.8,25.7,72,24.7,1000.0,45,0.0
2024-07-03,02:00,25.6,94,29.2,29.2,10.1,15.7,25.6,73,24.6,999.0,0,0.0
2024-07-03,03:00,25.6,94,29.1,29.1,11.2,17.3,25.6,75,24.6,999.0,0,0.0
2024-07-03,04:00,25.4,94,28.9,28.9,11.5,17.9,25.4,74,24.5,999.0,0,0.0
2024-07-03,05:00,25.3,95,28.6,28.6,12.2,19.1,25.3,73,24.3,999.0,0,0.0
2024-07-03,06:00,25.7,93,29.2,29.2,12.2,18.1,25.7,69,24.5,1000.0,0,0.0
2024-07-03,07:00,26.9,87,31.1,31.1,14.8,18.9,26.9,53,24.6,1001.0,0,0.0
2024-07-03,08:00,28.3,81,33.1,33.1,15.1,18.0,28.3,76,24.7,1001.0,0,0.0
2024-07-03,09:00,29.5,75,34.9,34.9,14.0,16.2,29.5,52,24.7,1001.0,0,0.0
2024-07-03,10:00,30.8,70,37.0,37.0,15.1,17.4,30.8,67,24.7,1001.0,100,0.15
2024-07-03,11:00,32.0,65,38.6,38.6,15.5,18.3,32.0,76,24.6,1001.0,100,0.1
2024-07-03,12:00,33.0,61,39.9,39.9,18.7,21.5,33.0,56,24.4,1000.0,100,0.42
2024-07-03,13:00,32.5,65,39.9,39.9,23.0,32.4,32.5,86,25.0,1000.0,100,1.81
2024-07-03,14:00,31.2,70,37.9,37.9,22.3,32.5,31.2,100,25.1,1000.0,100,1.72
2024-07-03,15:00,30.1,75,36.5,36.5,19.8,36.8,30.1,77,25.3,999.0,100,1.42
2024-07-03,16:00,30.1,76,36.5,36.5,18.7,28.9,30.1,77,25.4,999.0,100,1.64
2024-07-03,17:00,29.4,79,35.5,35.5,19.4,39.8,29.4,83,25.4,1000.0,100,1.53
2024-07-03,18:00,28.0,86,33.3,33.3,20.2,33.9,28.0,66,25.4,1000.0,100,1.65
2024-07-03,19:00,27.1,89,31.7,31.7,19.1,28.0,27.1,75,25.2,1001.0,100,0.86
2024-07-03,20:00,26.9,90,31.3,31.3,17.6,25.7,26.9,85,25.0,1002.0,100,0.34
2024-07-03,21:00,26.7,90,31.0,31.0,14.8,22.6,26.7,100,24.9,1003.0,100,0.6
2024-07-03,22:00,26.6,90,30.7,30.7,13.3,20.5,26.6,100,24.9,1003.0,100,0.72
2024-07-03,23:00,26.5,91,30.7,30.7,13.3,22.9,26.5,73,24.9,1003.0,100,0.72
2024-07-02,00:00,26.1,94,30.2,30.2,11.2,18.8,26.1,100,25.1,1000.0,100,0.65
2024-07-02,01:00,26.3,93,30.4,30.4,10.1,18.2,26.3,60,25.0,999.0,100,1.25
2024-07-02,02:00,26.5,90,30.4,30.4,10.1,18.6,26.5,76,24.6,999.0,100,1.44
2024-07-02,03:00,26.4,90,30.3,30.3,9.0,15.9,26.4,95,24.6,998.0,100,1.26
2024-07-02,04:00,26.0,92,29.8,29.8,9.4,15.4,26.0,81,24.7,998.0,100,1.3
2024-07-02,05:00,25.8,94,29.6,29.6,10.8,20.1,25.8,67,24.7,998.0,100,0.9
2024-07-02,06:00,25.8,94,29.6,29.6,10.4,16.5,25.8,65,24.8,999.0,100,0.84
2024-07-02,07:00,25.9,94,29.7,29.7,10.8,17.1,25.9,64,24.8,1000.0,100,0.7
2024-07-02,08:00,26.0,93,29.9,29.9,11.9,18.5,26.0,65,24.8,1000.0,100,0.25
2024-07-02,09:00,26.1,93,30.1,30.1,13.7,21.0,26.1,67,24.9,1000.0,100,0.41
2024-07-02,10:00,26.4,92,30.6,30.6,15.1,22.1,26.4,69,25.0,1000.0,45,0.05
2024-07-02,11:00,26.7,91,31.2,31.2,16.2,22.7,26.8,66,25.1,1000.0,100,0.11
2024-07-02,12:00,27.2,89,31.8,31.8,17.3,23.7,27.2,64,25.2,999.0,45,0.0
2024-07-02,13:00,27.2,89,31.9,31.9,18.0,24.2,27.2,84,25.2,999.0,45,0.01
2024-07-02,14:00,27.3,89,32.1,32.1,18.7,24.9,27.3,99,25.3,999.0,45,0.01
2024-07-02,15:00,27.5,88,32.4,32.4,19.1,25.0,27.5,99,25.2,998.0,45,0.01
2024-07-02,16:00,27.8,86,32.8,32.8,18.7,24.2,27.8,99,25.2,998.0,45,0.01
2024-07-02,17:00,27.7,86,32.5,32.5,17.6,23.4,27.7,94,25.1,998.0,45,0.01
2024-07-02,18:00,27.1,88,31.7,31.7,16.2,22.4,27.1,84,25.0,999.0,45,0.0
2024-07-02,19:00,26.5,91,30.7,30.7,14.0,20.6,26.5,62,24.9,999.0,45,0.0
2024-07-02,20:00,26.2,93,30.3,30.3,13.3,20.0,26.2,69,24.9,1000.0,45,0.0
2024-07-02,21:00,26.2,93,30.3,30.3,12.6,18.9,26.2,75,24.9,1000.0,45,0.04
2024-07-02,22:00,26.1,93,30.1,30.1,12.6,18.9,26.1,75,24.9,1001.0,100,0.15
2024-07-02,23:00,26.0,94,29.9,29.9,11.2,16.9,26.0,72,24.9,1001.0,100,0.3
